緯度,経度,測定局コード,測定局名称,所在地,測定局種別,問い合わせ先,都道府県コード
34.100000,135.116111,30204030,有田市初島公民館,有田市初島町浜１３６８－３,一般局,和歌山県,30
34.669722,134.980556,28111510,西自動車,神戸市西区曙町１０７０,自排局,神戸市,28
34.695556,135.200833,28110510,中部自動車,神戸市中央区小野柄通２丁目１番１９号（中央消防署）,自排局,神戸市,28
35.216389,136.857500,23233510,清須市阿原,清須市阿原九丁田１９２－１,自排局,愛知県,23
37.933889,139.089722,15102510,東山の下,新潟市東区藤見町１丁目２３番５７号,自排局,新潟市,15
35.340000,139.449444,14205050,明治市民センター,藤沢市辻堂新町１－１１－２３,一般局,藤沢市,14
34.807222,135.490556,27203520,豊中市千里,豊中市新千里西町1-1-3,自排局,豊中市,27
36.298889,139.110000,10464010,県央水質浄化センター,佐波郡玉村町上之手１８４６－１,一般局,群馬県,10
34.688056,132.541944,34369010,北広島町,山県郡北広島町壬生,一般局,広島県,34
38.290278,140.876389,04101510,北根,仙台市青葉区北根一丁目１１,自排局,仙台市,04
33.349444,130.690278,40203110,田主丸中学校,久留米市田主丸町田主丸６５－１,一般局,久留米市,40
35.679444,139.913889,12203120,市川行徳駅前,市川市湊新田2-4,一般局,市川市,12
34.918889,135.494167,27321010,豊能町役場,豊能郡豊能町余野４１４番地の１,一般局,大阪府,27
36.711944,138.283611,20201150,豊野,長野市豊野町豊野８１４,一般局,長野市,20
36.731111,138.982778,10449010,みなかみ町カルチャーセンター,利根郡みなかみ町上牧１７３５,一般局,群馬県,10
36.332222,138.916944,10211510,安中自排,安中市中宿７８３－１,自排局,群馬県,10
32.876111,130.877222,43403010,大津町引水,菊池郡大津町引水１２３,一般局,熊本県,43
32.652778,130.808333,43444010,甲佐町岩下,上益城郡甲佐町岩下１５７番地１９,一般局,熊本県,43
32.516111,130.432778,43212010,上天草市合津,上天草市松島町合津4276-387,一般局,熊本県,43
33.785278,135.339722,30391010,みなべ町晩稲グラウンド,日高郡みなべ町晩稲３６,一般局,和歌山県,30
34.791389,133.610833,33209010,高梁,高梁市落合町近似２８６－１,一般局,岡山県,33
35.032222,134.155556,33215010,美作,美作市北山３８５－１,一般局,岡山県,33
34.777778,134.098611,33213020,熊山,赤磐市釣井２０９－１,一般局,岡山県,33
34.834444,133.761667,33681010,吉備高原,加賀郡吉備中央町竹部２１６４－３,一般局,岡山県,33
34.668056,135.597500,27227030,東大阪市環境衛生検査センター,東大阪市西岩田３－３－２,自排局,東大阪市,27
35.625833,135.073333,26212010,京丹後,京丹後市峰山町丹波８５５,一般局,京都府,26
36.384167,139.876944,09216010,下野市南河内庁舎,下野市田中６８１－１,一般局,栃木県,09
36.266667,139.650833,09203030,栃木市藤岡公民館,栃木市藤岡町藤岡810,一般局,栃木県,09
36.293889,139.489167,09202520,足利市久保田公園,足利市久保田町923,自排局,栃木県,09
33.440556,129.816944,41202160,肥前,唐津市肥前町大字入野字音ノ元甲1684,一般局,佐賀県,41
33.273889,129.841944,41401020,西有田,西松浦郡有田町下山谷字佐後乙3563,一般局,佐賀県,41
33.101389,129.982222,41209010,嬉野,嬉野市嬉野町大字下宿乙1408番地,一般局,佐賀県,41
33.427778,130.280278,41201040,三瀬,佐賀市三瀬村三瀬2970,一般局,佐賀県,41
34.759167,135.503611,27205060,吹田市垂水,吹田市垂水町３－３２－５０,一般局,吹田市,27
34.811667,135.516944,27205080,吹田市北消防署,吹田市藤白台１－１－５０,一般局,吹田市,27
34.756389,135.521389,27205530,吹田簡易裁判所,吹田市寿町１－５－５,自排局,吹田市,27
34.627222,135.578056,27212520,久宝寺緑地,八尾市西久宝寺６５１,自排局,八尾市,27
35.108611,135.455000,26213010,南丹,南丹市園部町黒田１－４,一般局,京都府,26
34.635278,135.638333,27212030,水越,八尾市水越３－７０,一般局,八尾市,27
34.612778,135.588889,27212510,太子堂,八尾市南太子堂２－４－７,自排局,八尾市,27
34.911667,137.506389,23221010,新城消防署,新城市平井字新栄８３,一般局,愛知県,23
33.550556,133.621944,39204070,稲生,南国市稲生衣笠３０７５－２,一般局,高知県,39
35.814722,139.483333,11208090,所沢市中富,所沢市中富１６１４－２,一般局,所沢市,11
35.372778,139.383889,14321010,寒川町役場,高座郡寒川町宮山１６５,一般局,神奈川県,14
37.023611,140.376389,07481010,棚倉,東白川郡棚倉町大字棚倉字舘ヶ丘７３－４,一般局,福島県,07
34.708889,135.262778,28101040,住吉南,神戸市東灘区住吉南町1丁目,一般局,神戸市,28
35.922500,139.572500,11205040,さいたま市指扇,さいたま市西区指扇4226,一般局,さいたま市,11
35.913889,139.593889,11205530,さいたま市三橋自排,さいたま市西区三橋5-190,自排局,さいたま市,11
35.951667,139.606944,11205020,さいたま市宮原,さいたま市北区宮原町4-129,一般局,さいたま市,11
35.940000,139.664167,11205030,さいたま市春里,さいたま市見沼区小深作268-19,一般局,さいたま市,11
35.905833,139.673889,11205050,さいたま市片柳,さいたま市見沼区御蔵551,一般局,さいたま市,11
35.937222,139.645556,11205540,さいたま市大和田自排,さいたま市見沼区東大宮1-100-1,自排局,さいたま市,11
35.839444,139.665278,11204040,さいたま市根岸,さいたま市南区根岸2-20-13,一般局,さいたま市,11
35.836944,139.630000,11204520,さいたま市曲本自排,さいたま市南区曲本1-21-1,自排局,さいたま市,11
35.830833,139.658611,11204530,さいたま市辻自排,さいたま市南区辻8-27-25,自排局,さいたま市,11
34.327778,136.828333,24215010,鵜方,志摩市阿児町鵜方３１５３－１,一般局,三重県,24
32.972500,131.580556,44212010,豊肥保健所,豊後大野市三重町市場９３４番地２,一般局,大分県,44
33.821389,132.763333,38201530,朝生田,松山市朝生田町７丁目８３９,自排局,松山市,38
34.302222,133.962778,37201080,国分寺,高松市国分寺町新居１７１０-１,一般局,高松市,37
35.036944,136.596944,24202370,西朝明中学校,四日市市北山町１１６９,一般局,四日市市,24
34.961667,136.636944,24202510,納屋,四日市市蔵町４－１７,自排局,四日市市,24
35.001389,136.658056,24202530,北消防署,四日市市富田二丁目４－１５,自排局,四日市市,24
40.782778,140.238611,02321010,鰺ヶ沢町舞戸,西津軽郡鰺ヶ沢町大字舞戸町字鳴戸３８４－３７,一般局,青森県,02
40.527500,141.521667,02203260,八戸特別地域気象観測所,八戸市大字湊町字舘鼻６７,一般局,青森県,02
32.744167,129.875833,42201540,中央橋,長崎市江戸町10-100,自排局,長崎市,42
32.842222,130.016389,42204060,諫早,諌早市馬渡町13,一般局,長崎県,42
35.642222,139.735833,13103010,港区高輪,港区高輪一丁目6番,一般局,東京都,13
35.750000,139.558333,13217010,西東京市下保谷,西東京市下保谷一丁目４番,一般局,東京都,13
37.200833,139.781667,07368010,南会津,南会津郡南会津町田島字天道沢甲２５４２－７,一般局,福島県,07
37.659722,139.873056,07208090,喜多方,喜多方市字桜が丘１－１２９－１,一般局,福島県,07
35.255278,136.960000,23206270,春日井市朝宮公園,春日井市朝宮町４丁目１－２,一般局,愛知県,23
36.331667,139.581944,09204020,県安蘇庁舎,佐野市堀米町607,一般局,栃木県,09
36.507222,138.515278,10425010,嬬恋村運動公園,吾妻郡嬬恋村大笹１,一般局,群馬県,10
31.981111,130.997778,45205010,小林保健所,小林市小林市堤字金鳥居３０２０の１３,一般局,宮崎県,45
34.558611,135.530833,27143510,中環石原,堺市東区石原町１－２０－１,自排局,堺市,27
35.355278,139.354722,14203100,大野公民館,平塚市東真土2-12-1,一般局,平塚市,14
33.459722,129.955278,41202200,唐津,唐津市二夕子　1-7-83,一般局,佐賀県,41
39.644167,141.949167,03202050,横町, 宮古市横町  ５－１ ,一般局,岩手県,03
39.095278,141.704722,03203090,猪川町, 大船渡市猪川町字前田  ６－１ ,一般局,岩手県,03
35.251944,136.239444,25202090,彦根,彦根市西今町800,一般局,滋賀県,25
37.003333,140.918611,07204720,中央台,いわき市中央台鹿島１丁目55,一般局,いわき市,07
37.001944,140.848889,07204730,常磐,いわき市常磐湯本町栄田11,一般局,いわき市,07
37.093611,140.896111,07204740,四倉,いわき市四倉町狐塚字松橋20,一般局,いわき市,07
34.964444,136.165000,25209010,甲賀,甲賀市水口町水口６２００,一般局,滋賀県,25
32.024167,131.473889,45201040,佐土原,宮崎市佐土原町下田島20660,一般局,宮崎市,45
31.932778,131.410833,45201050,祇園,宮崎市宮崎市祇園２丁目１３５,一般局,宮崎市,45
31.838889,131.301111,45201060,田野,宮崎市田野町甲２８１８,一般局,宮崎市,45
35.800556,139.703056,11203030,川口市横曽根,川口市宮町１６－１,一般局,川口市,11
35.829444,139.764722,11203050,川口市新郷,川口市東本郷１３０１－１,一般局,川口市,11
35.833056,139.686389,11203060,川口市芝,川口市芝樋ノ爪２－９,一般局,川口市,11
35.841389,139.751667,11203510,川口市安行,川口市安行慈林３５６,自排局,川口市,11
35.853333,139.731389,11203530,川口市神根,川口市神戸４６１,自排局,川口市,11
34.802778,137.556944,22135010,三ヶ日,浜松市北区三ヶ日町三ヶ日500番地の1,一般局,浜松市,22
43.157778,141.283611,01302010,樽川,石狩市樽川500-33,一般局,北海道,01
43.509722,141.918611,01226010,職業訓練校,砂川市焼山60-2,一般局,北海道,01
43.426667,141.875000,01424010,奈井江,空知郡奈井江町字奈井江147,一般局,北海道,01
34.311667,135.601111,30203010,伊都総合庁舎,橋本市市脇４丁目５番８号,一般局,和歌山県,30
34.796944,135.807500,26343010,井手,綴喜郡井手町井手野神３８番地,一般局,京都府,26
34.765278,136.026389,26367010,南山城,相楽郡南山城村北大河原中谷１２－５２,一般局,京都府,26
36.071389,139.099167,11362010,皆野,秩父郡皆野町皆野1420-1,一般局,埼玉県,11
35.979444,139.461389,11346510,川島自排,比企郡川島町かわじま２－１９,自排局,埼玉県,11
35.308889,132.900556,32209010,雲南合同庁舎一般環境大気測定局,雲南市木次町里方５３１－１,一般局,島根県,32
37.295278,136.954444,17204010,輪島,輪島市三井町洲衛１０部１１番１,一般局,石川県,17
35.554444,140.173056,12105010,泉谷小学校,千葉市緑区おゆみ野中央４－３,一般局,千葉市,12
34.212778,135.186389,30201300,宮前小学校,和歌山市北中島1丁目7-4,一般局,和歌山市,30
45.119722,141.209167,01518950,国設利尻酸性雨,利尻郡利尻町仙法志神磯193,一般局,環境省,01
41.251667,140.349722,02307950,国設竜飛岬酸性雨,東津軽郡外ヶ浜町三厩宇鉄山国有林84林班り2小班,一般局,環境省,02
38.249722,138.400000,15224950,国設佐渡関岬酸性雨,佐渡市関204,一般局,環境省,15
27.091667,142.216111,13421950,国設小笠原酸性雨,小笠原村父島旭山地内,一般局,環境省,13
36.696667,137.798056,20485950,国設八方尾根酸性雨,北安曇郡白馬村北城4488-227,一般局,環境省,20
35.572222,136.693889,21215950,国設伊自良湖酸性雨,山県市長滝釜ヶ谷27-7-3,一般局,環境省,21
36.288611,133.185000,32528950,国設隠岐酸性雨,隠岐郡隠岐の島町北方福浦1700,一般局,環境省,32
34.681667,131.799722,32204950,国設蟠竜湖酸性雨,益田市高津町イ2340-3,一般局,環境省,32
33.379167,132.934722,39405950,国設檮原酸性雨,高岡郡檮原町太郎川3757-2,一般局,環境省,39
34.241667,129.285833,42209950,国設対馬酸性雨,対馬市大字厳原北里大多羅（上見坂公園）,一般局,環境省,42
32.606389,128.656667,42211950,国設五島酸性雨,五島市大宝郷字ヅンナン辻1148,一般局,環境省,42
26.866111,128.248611,47301950,国設辺戸岬酸性雨,国頭郡国頭村大字宜名真字長根原1000,一般局,環境省,47
32.088889,130.351389,46208010,出水,出水市昭和町18－18,一般局,鹿児島県,46
31.416667,130.322500,46220010,南さつま,南さつま市加世田川畑２６４８,一般局,鹿児島県,46
35.531944,139.703611,14131100,川崎市役所第４庁舎,川崎市川崎区宮本町3-3,一般局,川崎市,14
34.527778,133.739722,33202400,監視センター,倉敷市水島東千鳥町１－５０,一般局,倉敷市,33
34.672222,135.800278,29201530,自排柏木,奈良市柏木町519-17,自排局,奈良市,29
43.770278,142.364722,01204010,中央,旭川市６条通９丁目,一般局,旭川市,01
43.770278,142.364722,01204011,中央,旭川市６条通９丁目,自排局,旭川市,01
43.794444,142.330556,01204050,北門,旭川市錦町２１丁目,一般局,旭川市,01
43.738889,142.411667,01204150,東光,旭川市東光１６条７丁目,一般局,旭川市,01
43.810278,142.436667,01204160,永山,旭川市永山３条１９丁目,一般局,旭川市,01
33.780556,132.699167,38401010,松前,伊予郡松前町大字北黒田875,一般局,愛媛県,38
33.621389,132.504167,38421010,大屋,大洲市長浜町今坊乙1874-3,一般局,愛媛県,38
34.063333,132.999444,38202100,今治旭,今治市旭町1-4-9,一般局,愛媛県,38
33.643889,132.913056,38380010,久万高原,上浮穴郡久万町菅生2番耕地280-38,一般局,愛媛県,38
33.461667,132.421944,38204010,八幡浜,八幡浜市北浜1-3-37,一般局,愛媛県,38
33.227778,132.570556,38203010,宇和島,宇和島市天神町7-1,一般局,愛媛県,38
32.705556,131.305278,45441010,高千穂保健所,西臼杵郡高千穂町大字三田井１０８６－１,一般局,宮崎県,45
36.528611,136.651667,17201650,山科,金沢市山科1丁目地内,自排局,金沢市,17
33.506667,133.902500,39203010,安芸,安芸市西浜95-1,一般局,高知県,39
32.980278,132.905278,39210010,中村,四万十市具同5179,一般局,高知県,39
34.289444,134.248333,37206010,東讃保健福祉事務所,さぬき市津田町津田930番地2,一般局,香川県,37
32.747222,130.200833,42213010,小浜大気測定局,雲仙市小浜町北本町550,一般局,長崎県,42
34.067500,134.358611,36205010,吉野川,吉野川市鴨島町鴨島106-2,一般局,徳島県,36
33.969167,134.363333,36342010,神山,名西郡神山町神領字西上角25-4,一般局,徳島県,36
34.197778,136.063889,29451010,大台,吉野郡上北山村小橡根返948－1,一般局,奈良県,29
42.634444,141.604444,01213610,市役所,苫小牧市旭町4-5-6,自排局,北海道,01
41.826389,140.748333,01202080,北美原小学校,函館市北美原１－９－１６,一般局,函館市,01
41.778333,140.735556,01202100,中部小学校,函館市新川町30-26,一般局,函館市,01
41.818611,140.746111,01202560,美原,函館市美原３－３０－３,自排局,函館市,01
35.551389,139.419167,14153510,古淵,相模原市南区古淵３－１１４－１,自排局,相模原市,14
34.837222,135.614444,27207030,庄所,高槻市南庄所町3,一般局,高槻市,27
35.282778,139.670278,14201530,小川町交差点,横須賀市小川町3番地,自排局,横須賀市,14
34.328056,134.121389,37201090,東部運動公園,高松市高松町1336-6,一般局,高松市,37
34.233611,134.035000,37201100,南消防署香川分署,高松市香川町東上947-1,一般局,高松市,37
33.305000,130.373889,41210010,神埼,神埼市神埼町枝ヶ里349,一般局,佐賀県,41
33.184722,130.149444,41425010,白石,杵島郡白石町大字福田2371番地,一般局,佐賀県,41
37.439444,137.268889,17205020,珠洲,珠洲市野々江町シ部３２,一般局,石川県,17
33.720833,135.984722,30207010,新宮高校,新宮市神倉3-2-39,一般局,和歌山県,30
42.322500,140.997778,01205020,御前水,室蘭市御前水町2－2,一般局,室蘭市,01
42.336667,141.016111,01205310,輪西,室蘭市輪西町3－2－33,一般局,室蘭市,01
42.341944,141.027222,01205540,汐見,室蘭市東町4－29,自排局,室蘭市,01
42.347500,141.031111,01205320,東,室蘭市寿町1－9,一般局,室蘭市,01
42.374167,140.941944,01205060,白鳥台,室蘭市白鳥台5－35,一般局,室蘭市,01
35.254167,139.049722,14382010,箱根町宮城野,足柄下郡箱根町宮城野626-11,一般局,神奈川県,14
32.980556,130.467222,43204200,荒尾運動公園,荒尾市川登1868-12,一般局,熊本県,43
36.027222,139.716111,11442010,宮代,南埼玉郡宮代町学園台4-1,一般局,埼玉県,11
34.873333,137.816389,22137010,天竜測定局,浜松市天竜区二俣町二俣481番地,一般局,浜松市,22
33.179444,131.426389,44213010,中部保健所由布保健部,由布市庄内町柿原337-2,一般局,大分県,44
33.557500,131.731667,44214010,国東高等学校,国東市国東町鶴川1974,一般局,大分県,44
43.139444,141.156111,01203090,銭函,小樽市見晴町3-26,一般局,小樽市,01
43.181944,141.021944,01203100,勝納,小樽市勝納町10-1,一般局,小樽市,01
43.210556,140.936944,01203110,塩谷,小樽市塩谷2-10-5,一般局,小樽市,01
43.196667,140.994722,01203520,駅前交差点,小樽市稲穂2-22-8,自排局,小樽市,01
34.745833,135.765556,26366030,精華,相楽郡精華町光台1丁目7,一般局,京都府,26
33.622222,130.526389,40342010,篠栗,糟屋郡篠栗町大字田中１番地１,一般局,福岡県,40
33.611667,130.700000,40205010,飯塚,飯塚市平恒54番地24,一般局,福岡県,40
33.360000,130.817500,40228010,朝倉,朝倉市杷木池田483番地1,一般局,福岡県,40
33.197778,130.594444,40210010,八女,八女市立花町谷川1156番地,一般局,福岡県,40
43.021111,144.363889,01206290,昭和小学校,釧路市昭和中央3丁目12番2号,一般局,北海道,01
32.229444,131.145278,45403010,西米良村健康増進広場,児湯郡西米良村西米良村大字村所,一般局,宮崎県,45
34.695278,137.279722,23621071,田原市童浦小学校,田原市浦町西側85-1,一般局,愛知県,23
35.514167,133.235556,31204010,境港市誠道町,境港市誠道町２２５－１,一般局,鳥取県,31
35.503611,134.236111,31201040,鳥取県庁西町分庁舎,鳥取市西町１丁目４０１,一般局,鳥取県,31
35.445000,139.357778,14212530,厚木市水引,厚木市水引２－３－１,自排局,神奈川県,14
34.485278,134.191111,37322010,小豆総合事務所,小豆郡土庄町渕崎甲２０７９－５,一般局,香川県,37
32.903889,130.693611,43201160,北区役所,熊本市北区植木町岩野238-1,一般局,熊本市,43
32.770833,130.771111,43201170,秋津,熊本市東区秋津3丁目1856,一般局,熊本市,43
32.766111,130.626389,43201180,中島,熊本市西区中島町371-2,一般局,熊本市,43
32.726111,130.713889,43201190,城南町,熊本市南区城南町高482,一般局,熊本市,43
33.277222,130.309167,41201540,兵庫,佐賀市兵庫町大字西渕1960-4,自排局,佐賀県,41
35.728611,140.825556,12202090,銚子栄,銚子市栄町２－２－１,一般局,千葉県,12
40.824167,140.752500,02201520,橋本小学校,青森市橋本１丁目９－１７,自排局,青森市,02
35.791389,139.962500,12207020,松戸五香,松戸市五香西２－４０－１０,一般局,松戸市,12
35.823056,139.928889,12207030,松戸二ツ木,松戸市二ツ木４０－１,一般局,松戸市,12
34.721389,135.134444,28109010,南五葉,神戸市北区南五葉3-1-1,一般局,神戸市,28
43.081667,141.333333,01102020,国設札幌大気環境測定所,札幌市北区北19条西12丁目,一般局,環境省,01
35.433056,136.657778,21218010,本巣,本巣市下真桑1000,一般局,岐阜県,21
43.798056,143.889722,01208510,北見市常磐町大気測定局舎,北見市常磐町2-1-8,自排局,北海道,01
33.596111,133.689722,39212010,土佐山田,香美市土佐山田町山田1128-1,一般局,高知県,39
42.923889,143.195833,01207090,帯広市役所,帯広市西５条南７丁目１番地,一般局,北海道,01
38.268611,140.763889,04101020,宮総局,仙台市青葉区下愛子字観音堂5,一般局,仙台市,04
38.259167,140.671111,04104010,秋総局,仙台市太白区秋保町長袋大原４５?１,一般局,仙台市,04
35.935000,139.765556,11222030,越谷市千間台西,越谷市千間台西4-2,一般局,越谷市,11
34.555278,135.510278,27146010,金岡南,堺市北区金岡町１１８２－１,一般局,堺市,27
34.950833,138.418056,22102010,南中学校測定局,静岡市駿河区宮竹2-11-1,一般局,静岡市,22
35.002778,138.447222,22103010,清水第七中学校測定局,静岡市清水区草薙3-9-20,一般局,静岡市,22
34.728889,137.786389,22132540,浜松環状線,浜松市東区安新町１８１－２,自排局,浜松市,22
34.635278,136.513333,24204510,国道２３号松阪三雲,松阪市中道町３４５,自排局,三重県,24
31.944167,131.429167,45201540,大宮小学校自動車排出ガス測定局,宮崎市下北方町新地849番地,自排局,宮崎市,45
35.175833,138.599722,22210170,南松野,富士市南松野１４７６,一般局,富士市,22
34.535556,133.761944,33202410,福田,倉敷市福田町古新田５３３?１,一般局,倉敷市,33
34.647500,133.823056,33202420,庄,倉敷市上東１１１７－１,一般局,倉敷市,33
43.016944,144.262778,01206280,釧路高専,釧路市大楽毛西2-32,一般局,北海道,01
35.800000,139.912500,12207520,松戸上本郷（車）,松戸市上本郷２２３４－５,自排局,松戸市,12
35.884167,137.207222,21220010,下呂,下呂市萩原町羽根２６０５－１,一般局,岐阜県,21
34.713889,135.277222,28101520,魚崎自動車,神戸市東灘区魚崎南町６丁目１０,自排局,神戸市,28
34.883889,135.402222,28217530,川西市　川西文珠橋局,川西市清流台16番2号,自排局,川西市,28
34.919722,137.291111,23202030,東部樫山,岡崎市樫山町字山ノ神21-31,一般局,岡崎市,23
34.865556,135.649444,27207040,梶原,高槻市梶原１－５,一般局,高槻市,27
37.766667,140.479167,07201510,松浪町,福島市松浪町3-46,自排局,福島市,07
33.719167,130.463611,40223510,古賀,古賀市大字鹿部４０１－３,自排局,福岡県,40
35.709444,139.922778,12203550,市川稲荷木（車）, 市川市稲荷木２丁目４番  稲荷木２丁目公園内 ,自排局,市川市,12
35.492222,136.917778,21205360,関,関市西本郷通４丁目２番９号,一般局,岐阜県,21
34.791667,135.520833,27205090,吹田市高野台,吹田市高野台４－５－１,一般局,大阪府,27
34.880556,136.831389,23216110,常滑浄化センター,常滑市新開町６－３－２,一般局,愛知県,23
34.658333,136.371389,24201020,林業研究所,津市白山町二本木3769-1,一般局,三重県,24
34.523889,136.643611,24442010,明星小学校,多気郡明和町明星1553,一般局,三重県,24
34.825833,136.215278,24206030,伊賀柘植,伊賀市下柘植725,一般局,三重県,24
34.995833,136.554722,24202520,東名阪,四日市市菅原町南川原６８－１,自排局,三重県,24
35.036389,136.626944,24202540,伊坂,四日市市伊坂町字上ノ山,自排局,三重県,24
35.508889,140.081667,12219520,市原中川田（車）,市原市五井1661,自排局,市原市,12
32.206389,130.758611,43203011,人吉保健所,人吉市西間下町８６－１,一般局,熊本県,43
32.938611,131.114167,43214011,阿蘇保健所,阿蘇市一の宮町宮地２４０２,一般局,熊本県,43
35.162500,136.901111,23106018,若宮大通公園,名古屋市中区大須２丁目４０４番地先,自排局,名古屋市,23
35.449722,137.432222,21210501,恵那,恵那市長島町正家後田１０６７－７１,一般局,岐阜県,21
36.047222,136.276667,18201070,岡保,福井市河水町18-8,一般局,福井市,18
42.963056,141.353889,01106050,駒岡,札幌市南区真駒内602,一般局,札幌市,01
33.920556,130.786667,40103130,若松ひびき局,北九州市若松区向洋町15-1,一般局,北九州市,40
35.846944,139.575833,11235510,富士見下南畑自排,富士見市下南畑2486-4,自排局,埼玉県,11
34.746111,136.487778,24201030,津河辺配水場,津市河辺町字長2210-5,一般局,三重県,24
38.432500,141.263056,04202060,石巻西,石巻市石巻市門脇一番谷地51-10,一般局,宮城県,04
42.999444,141.443889,01110010,清田,札幌市清田区平岡1条1丁目2,一般局,札幌市,01
38.211944,140.315556,06201110,山形成沢西,山形市成沢西１－３－３,一般局,山形市,06
34.785278,133.928611,33201250,御津,岡山市北区御津宇垣１６２９,一般局,岡山市,33
35.016667,137.079444,23211530,新田局（花園町）,豊田市花園町新田42-7,自排局,豊田市,23
34.920833,137.171111,23202040,南部庄司田,岡崎市庄司田１丁目１７,一般局,岡崎市,23
34.622778,133.776111,33202550,西坂,倉敷市西坂５３８,自排局,倉敷市,33
35.348056,136.591667,21202010,大垣西部,大垣市綾野１－２７１９－１,一般局,大垣市,21
41.786944,140.781667,01202120,深堀中学校,函館市深堀町２８－１,一般局,函館市,01
35.263056,139.645278,14201080,池上コミュニティセンター測定局,横須賀市池上４－６－１,一般局,横須賀市,14
36.217778,137.978889,20202060,松本庄内,松本市出川１丁目１３,一般局,松本市,20
35.529722,139.713056,14131550,富士見公園,川崎市川崎区富士見１－１－６,自排局,川崎市,14
31.800000,130.305556,46202050,隈之城,薩摩川内市隈之城町217－8,一般局,鹿児島県,46
35.284722,136.830278,23203510,一宮市平島,一宮市平島２－１－１２,自排局,一宮市,23
35.490556,136.567222,21401010,揖斐,揖斐郡揖斐川町上南方字森本,一般局,岐阜県,21
36.372500,139.080000,10201060,前橋南局,前橋市六供町５００－２８ほか,一般局,前橋市,10
36.395278,139.104444,10201070,前橋東局,前橋市上泉町１７８,一般局,前橋市,10
34.777222,135.640833,27215020,成田,寝屋川市成田町３－６,一般局,寝屋川市,27
35.260833,139.179167,14206520,小田原市東町測定局,小田原市東町4-12-1,自排局,神奈川県,14
33.585000,130.407500,40133020,春吉,福岡市中央区春吉１－１７－３８,一般局,福岡市,40
28.396389,129.528889,46225010,奄美,奄美市名瀬浦上町1－12,一般局,鹿児島県,46
34.677500,135.439444,27104030,島屋小学校,大阪市此花区島屋2-9-36,一般局,大阪府,27
36.290000,139.974444,08206020,筑西,筑西市二木成615,一般局,茨城県,08
35.663333,138.559722,19201030,甲府穴切,甲府市宝2-8-19,一般局,甲府市,19
35.173889,136.624722,21221010,海津,海津市南濃町吉田487,一般局,岐阜県,21
